Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Vanuatu,VUT,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,2.328071983369248,4.225522171799062,6.014022888839161,7.26920267482799,9.000401226244367,7.800101983790567,28.332681502728164,25.46850636032564,28.65435132579937,38.445466283926095,37.44232975996905,54.016342089249164,67.27681622738811,78.84529850173226,165.84412050962987,124.46518407719535,299.1643160248365,136.46851554835862,170.78472474055366,338.99504330170026,380.25246016113005,256.9154847885953,211.7569228798827,212.5840788589461,186.6901599590611,161.17401752801405,176.562971958956,361.0400313389527,268.2656392731621,249.73510747259908,316.0141353040753,303.9007139203731,249.3445018062085,210.33092890217355,248.29469143527496,266.84694875533904,179.85969171743307,155.01197076669283,165.4589773785467,170.85322011101744,190.54206114493,152.09003360243312,139.3520618369636,164.44451000867366,187.65765944210128,191.2286417786098,229.64520646380055,260.38268867539136,410.6061884449192,433.91641722321907,459.60511735670394,381.5051044115754,409.6034235260022,358.9107543917491,385.8533742572203,701.0740406683854,474.5877252151885,476.4852697857756,459.01279369828126,447.28050203844373,515.416711182913,545.3772413097219,399.2982932875935,468.31889512213456,
Vanuatu,VUT,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,,,,,,,,,,,,38.29659609565983,42.44602078713355,31.248141455197427,27.443671184624673,26.312444472120017,18.929486043954316,17.74938878356009,19.94865970925456,41.71048988226796,26.829165610115723,24.322814277493503,27.937902081757805,26.056757890923315,21.659229745720097,19.50397147619022,20.65910926092725,20.976368599571753,13.386066956494561,11.162741107620876,11.615160521064238,11.83023522153237,13.701835827447642,11.441908771861426,10.871162681473216,11.000951344232861,11.148012280629887,10.923750356334068,11.827362300897816,11.71894924503675,15.830532962865798,17.702052202592817,16.8665757142958,12.366207362263827,14.465661302798816,12.04978880234466,12.777246256289073,24.142835119185325,15.7132950383756,15.03981147134735,13.910216562105788,12.200406882595471,15.204536693358945,15.340652902575954,10.310472514492055,11.81004109007864,
Vanuatu,VUT,Net official development assistance received (current US$),DT.ODA.ODAT.CD,150000.005960464,280000.001192093,409999.99642372096,509999.99046325695,649999.976158142,579999.983310699,2170000.07629395,2009999.9904632599,2329999.92370605,3220000.02861023,3230000.01907349,4800000.19073486,6159999.84741211,7440000.05722046,16129999.160766602,12479999.5422363,30930000.3051758,14550000.1907349,18780000.6866455,38319999.6948242,43979999.5422363,30379999.1607666,25629999.1607666,26360000.6103516,23729999.5422363,21010000.2288818,23610000.6103516,49529998.779296905,37759998.3215332,36060001.373291,46790000.9155273,46130001.0681152,38799999.237060495,33540000.915527303,40549999.237060495,44599998.4741211,30739999.7711182,27069120.4071045,29503486.6333008,31103487.0147705,35494365.6921387,29053911.2091064,27293912.8875732,33011577.6062012,38603244.781494096,40303348.5412598,49585681.9152832,57616439.8193359,93164901.7333984,100985801.696777,109500000.0,92886573.7915039,101943328.85742201,91336326.5991211,100414482.11669901,186556503.29589802,129129150.390625,132704483.032227,130937530.517578,130599197.387695,154036407.470703,166813446.044922,124998733.52050799,150053588.867188,
Vanuatu,VUT,Present value of external debt (% of GNI),DT.DOD.PVLX.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.66923478615692
Vanuatu,VUT,"Present value of external debt (% of exports of goods, services and primary income)",DT.DOD.PVLX.EX.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.698461030563834
Vanuatu,VUT,Present value of external debt (current US$),DT.DOD.PVLX.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247831068.6
Vanuatu,VUT,"Short-term debt (% of exports of goods, services and primary income)",DT.DOD.DSTC.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,11.193653587994849,9.552347513714821,10.770326413040944,12.46631018132766,12.342631182334948,14.606119259637218,12.265786944171058,9.071783961665824,1.171659907426789,0.787995477282902,2.962494444241208,4.417448262735139,4.064975511505285,3.6032799569254435,6.497317167454889,5.33438563644655,0.7060594675775831,10.242631497543945,20.462744560252332,45.497715984566476,34.01239628840439,24.0501331471832,2.5463036672898345,6.551154202732961,9.430876931855309,10.875125826635013,8.763048727674214,13.775785889225464,11.959843361783642,13.208395008294385,5.578854912515372,18.689416568986477,11.088609610148607,9.225488504052933,13.995264119782608,8.62044432845007,8.514301456010354,14.434298734403821,13.791108654282755,8.782207432158737,,
Vanuatu,VUT,Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,,,,,,,,,,,,,,,,,,,,,,,,106.14648817435221,98.92481118704754,84.82352863228927,46.68638242576847,24.8913969835288,28.276176837971423,27.079823236306115,25.46972623887433,3.112688237406364,1.954837976095695,6.580939782738366,11.474172095617819,10.354171343985941,11.38332187528285,24.12617196614574,20.148183865703935,2.756699541458107,46.245363970927414,84.97507902552822,169.76076286065057,125.52350050921241,72.97784897459093,7.753238467165718,13.478395804639899,20.162688617164957,29.604020572087954,19.513783806039726,30.9823636099248,27.04423929451123,28.53560371831496,13.21712462543464,43.89761783492555,14.383256644909212,14.153944104708705,16.817445004296523,10.72772670156574,8.22369379001526,6.258425667843211,5.997731176429913,4.975278225217968,8.158524222441068,18.69519911020777
Vanuatu,VUT,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,3.0948826669477425,4.365720937868057,10.599990968662611,10.322040419389191,13.316576702892558,15.409186919463771,19.916025412798206,19.026505162831022,20.447789807262385,22.81946218508052,19.696137952541584,20.22294666529192,23.370747625311264,23.22241906943537,23.02014810382495,20.849725273324495,20.097118515236335,25.26190892163969,33.46219655899236,43.337012911211644,48.30707366899466,63.96069284239506,53.701214473350845,44.45314136748949,27.198005216320016,26.376838708869162,26.01411409276394,25.29775815737128,26.873895062441967,27.3648550562684,23.756738855186587,25.855700827128032,20.90679308222292,25.865563403426968,33.2323678880065,35.70540942287304,45.49419874772763,42.73183774522266,39.6770242613178,43.425859436454175,42.59072791937411,39.010545099934326,36.74156298279259,39.162552606686226
Vanuatu,VUT,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,3008900.0,4077203.2,10619149.0,12939707.6,15762868.4,18237361.2,23649703.4,26778350.6,30315049.9,38217710.6,34869375.1,36227064.6,40189501.8,45581300.9,48945486.7,47879676.1,48734564.0,64167377.7,87977202.2,112263772.8,122663924.1,160584256.7,161146227.6,153931970.5,100347467.5,110583704.2,127898893.3,148880846.8,153308882.3,177656192.9,178444531.3,182211940.2,158471630.7,203273624.2,256793136.3,293420900.7,401420199.8,402236822.4,424722517.3,439945229.1,476744807.9,463433624.1,470663727.0,519876544.1
